,Brand,Price,History,Owner,Kilometers,Fuel_Type,Last_service,Transmission,Registration,Insurance,Year of Manufacturing
0,2020 Maruti Swift LXI MANUAL,"₹ 5,66,399",Non-Accidental,1st Owner,"1,755 km",Petrol,Petrol,DL-3C-x-xxxx,"Valid upto Mar 2022
Zero_Dep",February 2020,-
1,2015 Maruti Alto K10 LXI MANUAL,"₹ 2,67,799",Non-Accidental,1st Owner,"10,957 km",Petrol,Petrol,MANUAL,HR-51-x-xxxx,"Valid upto Sep 2022
3rd Party",-
2,2020 Maruti Swift LXI MANUAL,"₹ 5,59,499",Non-Accidental,1st Owner,"3,570 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Feb 2022
Zero_Dep",-
3,2020 Maruti S PRESSO VXI,"₹ 3,98,999",Non-Accidental,1st Owner,"3,176 km",Petrol,Petrol,NA,HR-51-x-xxxx,"Valid upto Jan 2022
Zero_Dep",-
4,2020 Renault TRIBER RXZ AT AUTOMATIC,"₹ 6,41,499",Non-Accidental,1st Owner,"6,460 km",Petrol,Petrol,AUTOMATIC,PB-10-x-xxxx,"Valid upto Sep 2022
3rd Party",-
5,2017 Maruti Alto 800 LXI MANUAL,"₹ 2,82,099",Non-Accidental,1st Owner,"8,501 km",Petrol,Petrol,MANUAL,UP-32-x-xxxx,"Valid upto Sep 2022
3rd Party",-
6,2021 Hyundai VENUE S MT 1.2 KAPPA,"₹ 8,07,999",Non-Accidental,1st Owner,"2,589 km",Petrol,Petrol,NA,UP-32-x-xxxx,"Valid upto Apr 2022
Zero_Dep",-
7,2010 Maruti Alto LXI MANUAL,"₹ 1,59,599",Non-Accidental,1st Owner,"29,645 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
8,2013 Maruti Alto 800 LXI MANUAL,"₹ 1,74,799",Non-Accidental,1st Owner,"50,250 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
9,2011 Maruti Ritz VXI BS IV MANUAL,"₹ 1,85,099",Non-Accidental,1st Owner,"41,762 km",Petrol,Petrol,MANUAL,DL-12-x-xxxx,"Valid upto Jan 2022
Comp",-
